Номер,Наименование перевозчика,Номер маршрута,"Марка, модель автобуса",Тип вместимости (ОБ БВ СВ),Год выпуска автобуса,Класс экологической безопасности,Государственный регистрационный знак
1580,"ООО ""Питеравто""",К-220Б,ПАЗ 320402-05,СВ,2012,Евро 3,В 126 НН 178
1581,"ООО ""Питеравто""",К-296А,ПАЗ 320402-05,СВ,2012,Евро 3,В 128 НН 178
1582,"ООО ""Питеравто""",К-296А,ПАЗ 320402-05,СВ,2012,Евро 3,В 127 НН 178
1583,"ООО ""Питеравто""",396А,ПАЗ 320402-05,СВ,2012,Евро 3,В 134 НН 178
1584,"ООО ""Питеравто""",К-5,ПАЗ 320402-05,СВ,2012,Евро 3,В 146 НН 178
1585,"ООО ""Питеравто""",К-239,ПАЗ 320402-05,СВ,2012,Евро 3,В 092 НО 178
1586,"ООО ""Питеравто""",387,ПАЗ 320402-05,СВ,2012,Евро 3,В 093 НО 178
1587,"ООО ""Питеравто""",К-268,ПАЗ 320402-05,СВ,2012,Евро 3,В 094 НО 178
1588,"ООО ""Питеравто""",316,ПАЗ 320402-05,СВ,2012,Евро 3,В 078 НО 178
1589,"ООО ""Питеравто""",373,ПАЗ 320402-05,СВ,2012,Евро 3,В 098 НО 178
1590,"ООО ""Питеравто""",К-286,ПАЗ 320402-05,СВ,2012,Евро 3,В 077 НО 178
1591,"ООО ""Питеравто""",К-253,ПАЗ 320402-05,СВ,2012,Евро 3,В 076 НО 178
1592,"ООО ""Питеравто""",К-239,ПАЗ 320402-05,СВ,2012,Евро 3,В 079 НО 178
1593,"ООО ""Питеравто""",К-253,ПАЗ 320402-05,СВ,2012,Евро 3,В 149 НН 178
1594,"ООО ""Питеравто""",К-239,ПАЗ 320402-05,СВ,2012,Евро 3,В 100 НО 178
1595,"ООО ""Питеравто""",К-118,ПАЗ 320402-05,СВ,2012,Евро 3,В 099 НО 178
1596,"ООО ""Питеравто""",К-5,ПАЗ 320402-05,СВ,2012,Евро 3,В 327 НО 178
1597,"ООО ""Питеравто""",К-118,ПАЗ 320402-05,СВ,2012,Евро 3,В 329 НО 178
1598,"ООО ""Питеравто""",К-286,ПАЗ 320402-05,СВ,2012,Евро 3,В 331 НО 178
1599,"ООО ""Питеравто""",К-239,ПАЗ 320402-05,СВ,2012,Евро 3,В 342 НО 178
1600,"ООО ""Питеравто""",К-239,ПАЗ 320402-05,СВ,2012,Евро 3,В 347 НО 178
1601,"ООО ""Питеравто""",К-185,БТД 2219-0000013,СВ,2011,Евро 4,В 050 ЕХ 178
1602,"ООО ""Питеравто""",К-329,БТД 2219-0000013,СВ,2011,Евро 4,В 903 ВА 178
1603,"ООО ""Питеравто""",К-27,БТД 2219-0000013,СВ,2011,Евро 4,В 910 ВА 178
1604,"ООО ""Питеравто""",К-185,БТД 2219-0000013,СВ,2011,Евро 4,В 902 ВА 178
1605,"ООО ""Питеравто""",К-154,БТД 2219-0000013,СВ,2011,Евро 4,В 907 ВА 178
1606,"ООО ""Питеравто""",К-376,БТД 2219-0000013,СВ,2011,Евро 4,В 044 ЕХ 178
1607,"ООО ""Питеравто""",К-139,БТД 2219-0000013,СВ,2011,Евро 4,В 045 ЕХ 178
1608,"ООО ""Питеравто""",К-249А,БТД 2219-0000013,СВ,2011,Евро 4,В 906 ВА 178
1609,"ООО ""Питеравто""",К-185,БТД 2219-0000013,СВ,2011,Евро 4,В 047 ЕХ 178
1610,"ООО ""Питеравто""",К-251,БТД 2219-0000013,СВ,2011,Евро 4,В 046 ЕХ 178
1611,"ООО ""Питеравто""",К-138,БТД 2219-0000013,СВ,2011,Евро 4,В 908 ВА 178
1612,"ООО ""Питеравто""",К-376,БТД 2219-0000013,СВ,2011,Евро 4,В 904 ВА 178
1613,"ООО ""Питеравто""",373,ПАЗ 320402-05,СВ,2012,Евро 3,В 340 НО 178
1614,"ООО ""Питеравто""",377,ПАЗ 320402-05,СВ,2012,Евро 3,В 345 НО 178
1615,"ООО ""Питеравто""",К-239,ПАЗ 320402-05,СВ,2012,Евро 3,В 326 НО 178
1616,"ООО ""Питеравто""",К-239,ПАЗ 320402-05,СВ,2012,Евро 3,В 332 НО 178
1617,"ООО ""Питеравто""",К-118,ПАЗ 320402-05,СВ,2012,Евро 3,В 338 НО 178
1618,"ООО ""Питеравто""",377,ПАЗ 320402-05,СВ,2012,Евро 3,В 339 НО 178
1619,"ООО ""Питеравто""",109,ПАЗ 320402-05,СВ,2012,Евро 3,В 349 НО 178
1620,"ООО ""Питеравто""",К-246,ПАЗ 320402-05,СВ,2012,Евро 3,В 344 НО 178
1621,"ООО ""Питеравто""",К-296А,ПАЗ 320402-05,СВ,2012,Евро 3,В 343 НО 178
1622,"ООО ""Питеравто""",К-239,ПАЗ 320402-05,СВ,2012,Евро 3,В 809 НС 178
1623,"ООО ""Питеравто""",К-239,ПАЗ 320402-05,СВ,2012,Евро 3,В 810 НС 178
1624,"ООО ""Питеравто""",К-296А,ПАЗ 320402-05,СВ,2012,Евро 3,В 811 НС 178
1625,"ООО ""Питеравто""",К-253,ПАЗ 320402-05,СВ,2012,Евро 3,В 812 НС 178
1626,"ООО ""Питеравто""",К-269,ПАЗ 320402-05,СВ,2012,Евро 3,В 813 НС 178
1627,"ООО ""Питеравто""",К-246,ПАЗ 320402-05,СВ,2012,Евро 3,В 816 НС 178
1628,"ООО ""Питеравто""",2,ПАЗ 320402-05,СВ,2012,Евро 3,В 817 НС 178
1629,"ООО ""Питеравто""",К-5,ПАЗ 320402-05,СВ,2012,Евро 3,В 818 НС 178
1630,"ООО ""Питеравто""",К-96,ПАЗ 320402-05,СВ,2012,Евро 3,В 821 НС 178
1631,"ООО ""Питеравто""",К-322,ПАЗ 320402-05,СВ,2012,Евро 3,В 824 НС 178
1632,"ООО ""Питеравто""",К-246,ПАЗ 320402-05,СВ,2012,Евро 3,В 819 НС 178
1633,"ООО ""Питеравто""",К-202,ПАЗ 320402-05,СВ,2012,Евро 3,В 832 НС 178
1634,"ООО ""Питеравто""",К-202,ПАЗ 320402-05,СВ,2012,Евро 3,В 834 НС 178
1635,"ООО ""Питеравто""",К-202,ПАЗ 320402-05,СВ,2012,Евро 3,В 831 НС 178
1636,"ООО ""Питеравто""",К-81,ПАЗ 320402-05,СВ,2012,Евро 3,В 847 НС 178
1637,"ООО ""Питеравто""",К-202,ПАЗ 320402-05,СВ,2012,Евро 3,В 830 НС 178
1638,"ООО ""Питеравто""",К-96,ПАЗ 320402-05,СВ,2012,Евро 3,В 848 НС 178
1639,"ООО ""Питеравто""",К-202,ПАЗ 320402-05,СВ,2012,Евро 3,В 833 НС 178
1640,"ООО ""Питеравто""",К-286,ПАЗ 320402-05,СВ,2012,Евро 3,В 836 НС 178
1641,"ООО ""Питеравто""",К-118,ПАЗ 320402-05,СВ,2012,Евро 3,В 854 НС 178
1642,"ООО ""Питеравто""",К-81,ПАЗ 320402-05,СВ,2012,Евро 3,В 820 НС 178
1643,"ООО ""Питеравто""",К-118,ПАЗ 320402-05,СВ,2012,Евро 3,В 857 НС 178
1644,"ООО ""Питеравто""",371,ПАЗ 320402-05,СВ,2012,Евро 3,В 861 НС 178
1645,"ООО ""Питеравто""",К-246,ПАЗ 320402-05,СВ,2012,Евро 3,В 864 НС 178
1646,"ООО ""Питеравто""",К-246,ПАЗ 320402-05,СВ,2012,Евро 3,В 866 НС 178
1647,"ООО ""Питеравто""",К-246,ПАЗ 320402-05,СВ,2012,Евро 3,В 867 НС 178
1648,"ООО ""Питеравто""",К-246,ПАЗ 320402-05,СВ,2012,Евро 3,В 868 НС 178
1649,"ООО ""Питеравто""",К-246,ПАЗ 320402-05,СВ,2012,Евро 3,В 850 НС 178
1650,"ООО ""Питеравто""",К-118,ПАЗ 320402-05,СВ,2012,Евро 3,В 862 НС 178
1651,"ООО ""Питеравто""",К-246,ПАЗ 320402-05,СВ,2012,Евро 3,В 856 НС 178
1652,"ООО ""Питеравто""",К-239,ПАЗ 320402-05,СВ,2012,Евро 3,В 863 НС 178
1653,"ООО ""Питеравто""",К-202,ПАЗ 320402-05,СВ,2012,Евро 3,В 822 НС 178
1654,"ООО ""Питеравто""",К-202,ПАЗ 320402-05,СВ,2012,Евро 3,В 838 НС 178
1655,"ООО ""Питеравто""",К-202,ПАЗ 320402-05,СВ,2012,Евро 3,В 827 НС 178
1656,"ООО ""Питеравто""",К-246,ПАЗ 320402-05,СВ,2012,Евро 3,В 826 НС 178
1657,"ООО ""Питеравто""",К-81,ПАЗ 320402-05,СВ,2012,Евро 3,В 825 НС 178
1658,"ООО ""Питеравто""",К-170,ПАЗ 320402-05,СВ,2012,Евро 3,В 845 НС 178
1659,"ООО ""Питеравто""",К-170,ПАЗ 320402-05,СВ,2012,Евро 3,В 844 НС 178
1660,"ООО ""Питеравто""",К-296А,ПАЗ 320402-05,СВ,2012,Евро 3,В 869 НС 178
1661,"ООО ""Питеравто""",К-170,ПАЗ 320402-05,СВ,2012,Евро 3,В 842 НС 178
1662,"ООО ""Питеравто""",К-246,ПАЗ 320402-05,СВ,2012,Евро 3,В 870 НС 178
1663,"ООО ""Питеравто""",К-62,ПАЗ 320402-05,СВ,2012,Евро 3,В 841 НС 178
1664,"ООО ""Питеравто""",К-97,ПАЗ 320402-05,СВ,2012,Евро 3,В 871 НС 178
1665,"ООО ""Питеравто""",К-32,ПАЗ 320402-05,СВ,2012,Евро 3,В 874 НС 178
1666,"ООО ""Питеравто""",К-31,ПАЗ 320402-05,СВ,2012,Евро 3,В 412 НУ 178
1667,"ООО ""Питеравто""",К-16/53а,ПАЗ 320402-05,СВ,2012,Евро 3,В 405 НУ 178
1668,"ООО ""Питеравто""",К-16/53а,ПАЗ 320402-05,СВ,2012,Евро 3,В 404 НУ 178
1669,"ООО ""Питеравто""",К-16/53а,ПАЗ 320402-05,СВ,2012,Евро 3,В 408 НУ 178
1670,"ООО ""Питеравто""",К-16/53а,ПАЗ 320402-05,СВ,2012,Евро 3,В 899 НС 178
1671,"ООО ""Питеравто""",К-16/53а,ПАЗ 320402-05,СВ,2012,Евро 3,В 403 НУ 178
1672,"ООО ""Питеравто""",К-16/53а,ПАЗ 320402-05,СВ,2012,Евро 3,В 406 НУ 178
1673,"ООО ""Питеравто""",К-16/53а,ПАЗ 320402-05,СВ,2012,Евро 3,В 409 НУ 178
1674,"ООО ""Питеравто""",К-16/53а,ПАЗ 320402-05,СВ,2012,Евро 3,В 885 НС 178
1675,"ООО ""Питеравто""",К-16/53а,ПАЗ 320402-05,СВ,2012,Евро 3,В 889 НС 178
1676,"ООО ""Питеравто""",К-16/53а,ПАЗ 320402-05,СВ,2012,Евро 3,В 415 НУ 178
1677,"ООО ""Питеравто""",К-118,ПАЗ 320402-05,СВ,2012,Евро 3,В 410 НУ 178
1678,"ООО ""Питеравто""",К-155а,ПАЗ 320402-05,СВ,2012,Евро 3,В 413 НУ 178
1679,"ООО ""Питеравто""",К-246,ПАЗ 320402-05,СВ,2012,Евро 3,В 887 НС 178
1680,"ООО ""Питеравто""",К-296А,ПАЗ 320402-05,СВ,2012,Евро 3,В 886 НС 178
1681,"ООО ""Питеравто""",К-296А,ПАЗ 320402-05,СВ,2012,Евро 3,В 402 НУ 178
1682,"ООО ""Питеравто""",К-239,ПАЗ 320402-05,СВ,2012,Евро 3,В 407 НУ 178
1683,"ООО ""Питеравто""",К-81,ПАЗ 320402-05,СВ,2012,Евро 3,В 411 НУ 178
1684,"ООО ""Питеравто""",К-246,ПАЗ 320402-05,СВ,2012,Евро 3,В 416 НУ 178
1685,"ООО ""Питеравто""",К-253,ПАЗ 320402-05,СВ,2012,Евро 3,В 426 НУ 178
1686,"ООО ""Питеравто""",К-246,ПАЗ 320402-05,СВ,2012,Евро 3,В 414 НУ 178
1687,"ООО ""Питеравто""",К-246,ПАЗ 320402-05,СВ,2012,Евро 3,В 417 НУ 178
1688,"ООО ""Питеравто""",К-246,ПАЗ 320402-05,СВ,2012,Евро 3,В 888 НС 178
1689,"ООО ""Питеравто""",К-246,ПАЗ 320402-05,СВ,2012,Евро 3,В 890 НС 178
1690,"ООО ""Питеравто""",К-292,ПАЗ 320402-05,СВ,2012,Евро 3,В 895 НС 178
1691,"ООО ""Питеравто""",К-246,ПАЗ 320402-05,СВ,2012,Евро 3,В 898 НС 178
1692,"ООО ""Питеравто""",К-269,ПАЗ 320402-05,СВ,2012,Евро 3,В 427 НУ 178
1693,"ООО ""Питеравто""",К-31,ПАЗ 320402-05,СВ,2012,Евро 3,В 435 НУ 178
1694,"ООО ""Питеравто""",К-31,ПАЗ 320402-05,СВ,2012,Евро 3,В 430 НУ 178
1695,"ООО ""Питеравто""",К-170,ПАЗ 320402-05,СВ,2012,Евро 3,В 429 НУ 178
1696,"ООО ""Питеравто""",К-29,ПАЗ 320402-05,СВ,2012,Евро 3,В 437 НУ 178
1697,"ООО ""Питеравто""",К-96,ПАЗ 320402-05,СВ,2012,Евро 3,В 438 НУ 178
1698,"ООО ""Питеравто""",К-31,ПАЗ 320402-05,СВ,2012,Евро 3,В 439 НУ 178
1699,"ООО ""Питеравто""",К-253,ПАЗ 320402-05,СВ,2012,Евро 3,В 440 НУ 178
1700,"ООО ""Питеравто""",К-269,ПАЗ 320402-05,СВ,2012,Евро 3,В 421 НУ 178
1701,"ООО ""Питеравто""",К-97,ПАЗ 320402-05,СВ,2012,Евро 3,В 441 НУ 178
1702,"ООО ""Питеравто""",К-31,ПАЗ 320402-05,СВ,2012,Евро 3,В 431 НУ 178
1703,"ООО ""Питеравто""",К-96,ПАЗ 320402-05,СВ,2012,Евро 3,В 436 НУ 178
1704,"ООО ""Питеравто""",К-5,ПАЗ 320402-05,СВ,2012,Евро 3,В 444 НУ 178
1705,"ООО ""Питеравто""",К-31,ПАЗ 320402-05,СВ,2012,Евро 3,В 432 НУ 178
1706,"ООО ""Питеравто""",К-5,ПАЗ 320402-05,СВ,2012,Евро 3,В 455 НУ 178
1707,"ООО ""Питеравто""",К-118,ПАЗ 320402-05,СВ,2012,Евро 3,В 445 НУ 178
1708,"ООО ""Питеравто""",К-246,ПАЗ 320402-05,СВ,2012,Евро 3,В 443 НУ 178
1709,"ООО ""Питеравто""",К-292,ПАЗ 320402-05,СВ,2012,Евро 3,В 446 НУ 178
1710,"ООО ""Питеравто""",К-253,ПАЗ 320402-05,СВ,2012,Евро 3,В 450 НУ 178
1711,"ООО ""Питеравто""",К-253,ПАЗ 320402-05,СВ,2012,Евро 3,В 461 НУ 178
1712,"ООО ""Питеравто""",К-246,ПАЗ 320402-05,СВ,2012,Евро 3,В 900 НС 178
1713,"ООО ""Питеравто""",2,ПАЗ 320402-05,СВ,2012,Евро 3,В 463 НУ 178
1714,"ООО ""Питеравто""",К-81,ПАЗ 320402-05,СВ,2012,Евро 3,В 447 НУ 178
1715,"ООО ""Питеравто""",К-32,ПАЗ 320402-05,СВ,2012,Евро 3,В 449 НУ 178
1716,"ООО ""Питеравто""",К-31,ПАЗ 320402-05,СВ,2012,Евро 3,В 459 НУ 178
1717,"ООО ""Питеравто""",К-286,ПАЗ 320402-05,СВ,2012,Евро 3,В 460 НУ 178
1718,"ООО ""Питеравто""",К-202,ПАЗ 320402-05,СВ,2012,Евро 3,В 420 НУ 178
1719,"ООО ""Питеравто""",К-253,ПАЗ 320402-05,СВ,2012,Евро 3,В 469 НХ 178
1720,"ООО ""Питеравто""",К-32,ПАЗ 320402-05,СВ,2012,Евро 3,В 456 НХ 178
1721,"ООО ""Питеравто""",К-96,ПАЗ 320402-05,СВ,2012,Евро 3,В 454 НХ 178
1722,"ООО ""Питеравто""",К-155б,ПАЗ 320402-05,СВ,2012,Евро 3,В 485 НУ 178
1723,"ООО ""Питеравто""",К-96,ПАЗ 320402-05,СВ,2012,Евро 3,В 451 НХ 178
1724,"ООО ""Питеравто""",К-286,ПАЗ 320402-05,СВ,2012,Евро 3,В 452 НХ 178
1725,"ООО ""Питеравто""",К-322,ПАЗ 320402-05,СВ,2012,Евро 3,В 499 НУ 178
1726,"ООО ""Питеравто""",К-118,ПАЗ 320402-05,СВ,2012,Евро 3,В 400 ОА 178
1727,"ООО ""Питеравто""",К-322,ПАЗ 320402-05,СВ,2012,Евро 3,В 494 НУ 178
1728,"ООО ""Питеравто""",К-286,ПАЗ 320402-05,СВ,2012,Евро 3,В 490 НУ 178
1729,"ООО ""Питеравто""",К-32,ПАЗ 320402-05,СВ,2012,Евро 3,В 459 НХ 178
1730,"ООО ""Питеравто""",К-253,ПАЗ 320402-05,СВ,2012,Евро 3,В 464 НХ 178
1731,"ООО ""Питеравто""",К-32,ПАЗ 320402-05,СВ,2012,Евро 3,В 463 НХ 178
1732,"ООО ""Питеравто""",К-322,ПАЗ 320402-05,СВ,2012,Евро 3,В 462 НХ 178
1733,"ООО ""Питеравто""",К-149,ПАЗ 320402-05,СВ,2012,Евро 3,В 465 НХ 178
1734,"ООО ""Питеравто""",К-97,ПАЗ 320402-05,СВ,2012,Евро 3,В 468 НХ 178
1735,"ООО ""Питеравто""",К-254,ПАЗ 320402-05,СВ,2012,Евро 3,В 461 НХ 178
1736,"ООО ""Питеравто""",371,ПАЗ 320402-05,СВ,2012,Евро 3,В 467 НХ 178
1737,"ООО ""Питеравто""",К-96,ПАЗ 320402-05,СВ,2012,Евро 3,В 477 НХ 178
1738,"ООО ""Питеравто""",К-32,ПАЗ 320402-05,СВ,2012,Евро 3,В 478 НХ 178
1739,"ООО ""Питеравто""",К-269,ПАЗ 320402-05,СВ,2012,Евро 3,В 481 НХ 178
1740,"ООО ""Питеравто""",К-81,ПАЗ 320402-05,СВ,2012,Евро 3,В 480 НХ 178
1741,"ООО ""Питеравто""",К-32,ПАЗ 320402-05,СВ,2012,Евро 3,В 482 НХ 178
1742,"ООО ""Питеравто""",К-31,ПАЗ 320402-05,СВ,2012,Евро 3,В 485 НХ 178
1743,"ООО ""Питеравто""",К-286,ПАЗ 320402-05,СВ,2012,Евро 3,В 484 НХ 178
1744,"ООО ""Питеравто""",К-286,ПАЗ 320402-05,СВ,2012,Евро 3,В 487 НХ 178
1745,"ООО ""Питеравто""",К-32,ПАЗ 320402-05,СВ,2012,Евро 3,В 488 НХ 178
1746,"ООО ""Питеравто""",К-32,ПАЗ 320402-05,СВ,2012,Евро 3,В 489 НХ 178
1747,"ООО ""Питеравто""",К-322,ПАЗ 320402-05,СВ,2012,Евро 3,В 497 НХ 178
1748,"ООО ""Питеравто""",К-32,ПАЗ 320402-05,СВ,2012,Евро 3,В 490 НХ 178
1749,"ООО ""Питеравто""",К-254,ПАЗ 320402-05,СВ,2012,Евро 3,В 492 НХ 178
1750,"ООО ""Питеравто""",К-286,ПАЗ 320402-05,СВ,2012,Евро 3,В 493 НХ 178
1751,"ООО ""Питеравто""",К-32,ПАЗ 320402-05,СВ,2012,Евро 3,В 494 НХ 178
1752,"ООО ""Питеравто""",К-286,ПАЗ 320402-05,СВ,2012,Евро 3,В 495 НХ 178
1753,"ООО ""Питеравто""",К-32,ПАЗ 320402-05,СВ,2012,Евро 3,В 496 НХ 178
1754,"ООО ""Питеравто""",К-292,ПАЗ 320402-05,СВ,2012,Евро 3,В 321 ОА 178
1755,"ООО ""Питеравто""",К-292,ПАЗ 320402-05,СВ,2012,Евро 3,В 322 ОА 178
1756,"ООО ""Питеравто""",К-254,ПАЗ 320402-05,СВ,2012,Евро 3,В 323 ОА 178
1757,"ООО ""Питеравто""",К-29,ПАЗ 320402-05,СВ,2012,Евро 3,В 325 ОА 178
1758,"ООО ""Питеравто""",К-149,ПАЗ 320402-05,СВ,2012,Евро 3,В 328 ОА 178
1759,"ООО ""Питеравто""",К-292,ПАЗ 320402-05,СВ,2012,Евро 3,В 329 ОА 178
1760,"ООО ""Питеравто""",К-292,ПАЗ 320402-05,СВ,2012,Евро 3,В 330 ОА 178
1761,"ООО ""Питеравто""",К-292,ПАЗ 320402-05,СВ,2012,Евро 3,В 331 ОА 178
1762,"ООО ""Питеравто""",К-286,ПАЗ 320402-05,СВ,2012,Евро 3,В 332 ОА 178
1763,"ООО ""Питеравто""",К-476,ПАЗ 320412-05,СВ,2012,Евро 3,В 419 ОВ 178
1764,"ООО ""Питеравто""",К-296,ПАЗ 320412-05,СВ,2012,Евро 3,В 526 ОК 178
1765,"ООО ""Питеравто""",К-201,ПАЗ 320412-05,СВ,2012,Евро 3,В 530 ОК 178
1766,"ООО ""Питеравто""",К-354,ПАЗ 320412-05,СВ,2012,Евро 3,В 436 ОВ 178
1767,"ООО ""Питеравто""",К-296,ПАЗ 320412-05,СВ,2012,Евро 3,В 438 ОВ 178
1768,"ООО ""Питеравто""",К-293А,ПАЗ 320412-05,СВ,2012,Евро 3,В 733 ОК 178
1769,"ООО ""Питеравто""",К-293А,ПАЗ 320412-05,СВ,2012,Евро 3,В 754 ОК 178
1770,"ООО ""Питеравто""",К-293А,ПАЗ 320412-05,СВ,2012,Евро 3,В 753 ОК 178
1771,"ООО ""Питеравто""",К-476,ПАЗ 320412-05,СВ,2012,Евро 3,В 414 ОВ 178
1772,"ООО ""Питеравто""",К-296,ПАЗ 320412-05,СВ,2012,Евро 3,В 546 ОК 178
1773,"ООО ""Питеравто""",К-476,ПАЗ 320412-05,СВ,2012,Евро 3,В 427 ОВ 178
1774,"ООО ""Питеравто""",К-476,ПАЗ 320412-05,СВ,2012,Евро 3,В 415 ОВ 178
1775,"ООО ""Питеравто""",К-201,ПАЗ 320412-05,СВ,2012,Евро 3,В 767 ОК 178
1776,"ООО ""Питеравто""",К-293А,ПАЗ 320412-05,СВ,2012,Евро 3,В 751 ОК 178
1777,"ООО ""Питеравто""",К-293А,ПАЗ 320412-05,СВ,2012,Евро 3,В 745 ОК 178
1778,"ООО ""Питеравто""",К-293А,ПАЗ 320412-05,СВ,2012,Евро 3,В 746 ОК 178
1779,"ООО ""Питеравто""",К-296,ПАЗ 320412-05,СВ,2012,Евро 3,В 748 ОК 178
1780,"ООО ""Питеравто""",К-201,ПАЗ 320412-05,СВ,2012,Евро 3,В 426 ОВ 178
1781,"ООО ""Питеравто""",К-476,ПАЗ 320412-05,СВ,2012,Евро 3,В 412 ОВ 178
1782,"ООО ""Питеравто""",К-201,ПАЗ 320412-05,СВ,2012,Евро 3,В 425 ОВ 178
