Идентификатор маршрута,Сокращенное наименование маршрута,Наименование маршрута,Тип маршрута,Тип транспорта,Круговой маршрут,Городской/Пригородный,Ночной
2683,К-66,"ул. Червонного Казачества - Канонерский остров, д. 11",3,Автобус,0,1,0
2686,К-177,"ст.метро ""Нарвская""-Финляндский вокзал",3,Автобус,0,1,0
2696,К-11к,Троицкое Поле - ж.-д. станция Предпортовая,3,Автобус,0,0,0
2698,К-68,"станция метро ""Проспект Ветеранов"" - улица Чекистов",3,Автобус,0,1,0
2699,К-12,"торговый дом ""Максидом"" - на пересечении улицы Коллонтай и улицы Лопатина",3,Автобус,0,0,0
2700,К-179А,"ст. метро ""Старая деревня""-Пилотная улица",3,Автобус,0,1,0
2701,К-13,"станция Станция метро ""Московская"" (северный проезд ул. Типанова)- Авиагородок",3,Автобус,0,0,0
2702,К-70,"станция метро ""Озерки"" - на пересечении пр. Луначарского и Светлановского пр.",3,Автобус,0,1,0
2703,К-71,"станция метро ""Старая Деревня"" - Глухарская ул., д.4",3,Автобус,0,1,0
2704,К-183,"Прибалтийская пл. - ст. метро ""Площадь Ленина""",3,Автобус,0,1,0
2705,К-14,"станция метро ""Пионерская"" - Глухарская улица",3,Автобус,0,0,0
2707,К-15,"Улица Смольного - ТК ""Радуга""",3,Автобус,0,0,0
1380,78,"СТ.МЕТРО ""НАРВСКАЯ"" - СТ. МЕТРО ""НАРВСКАЯ""",3,Автобус,0,1,0
1400,1,"АВТОБУСНАЯ СТАНЦИЯ ""РУЧЬИ"" - СТ. МЕТРО ""ОЗЕРКИ""",3,Автобус,0,1,0
1542,335А,"Г. КОЛПИНО, ЛЕНИНГРАДСКАЯ УЛ. - ПОС. МЕТАЛЛОСТРОЙ, ЦЕНТРАЛЬНАЯ УЛ.",3,Автобус,0,1,0
1545,5,"УЛ. ГРИБАКИНЫХ - СТ. МЕТРО ""ЛАДОЖСКАЯ""",3,Автобус,0,1,0
1546,51,УЛ. ГРИБАКИНЫХ - ЗАВОД ЖЕЛЕЗОБЕТОННЫХ ИЗДЕЛИЙ №1,3,Автобус,0,1,0
1580,164,УЛ. ПОДВОЙСКОГО - УЛ. ХИМИКОВ,3,Автобус,0,1,0
1601,16,"ЗВЕЗДНАЯ УЛ. - СТ.МЕТРО ""ПАРК ПОБЕДЫ""",3,Автобус,0,1,0
1666,4Л,"Г. ЛОМОНОСОВ, ВОКЗАЛ - БИЗНЕС-ПАРК ""МАРТЫШКИНО""",3,Автобус,0,1,0
1695,67,БАЛТИЙСКИЙ ВОКЗАЛ - КАНОНЕРСКИЙ ОСТРОВ,3,Автобус,0,1,0
1696,67А,ДВИНСКАЯ УЛ. - КАНОНЕРСКИЙ ОСТРОВ,3,Автобус,0,1,0
1721,68,СЧАСТЛИВАЯ УЛ. - ЛЕНИНГРАДСКИЙ ЭЛЕКТРОМЕХАНИЧЕСКИЙ ЗАВОД,3,Автобус,0,1,0
1722,382,"Г.ПУШКИН, АВТОБУСНАЯ СТАНЦИЯ ""ЖЕЛЕЗНОДОРОЖНАЯ УЛ."" - КАЗАНСКОЕ КЛАДБИЩЕ",3,Автобус,0,1,0
1803,124,БЕЛОРУССКАЯ УЛ. - ЧЕЛЯБИНСКАЯ УЛ.,3,Автобус,0,1,0
1807,360Б,"Г. ПЕТРОДВОРЕЦ, ВОКЗАЛ - ЖИЛГОРОДОК",3,Автобус,0,1,0
1808,155,УЛ. КОСТЮШКО - Ж.-Д.СТ. АЛЕКСАНДРОВСКАЯ,3,Автобус,0,1,0
1810,166,"СТ. МЕТРО ""СТАРАЯ ДЕРЕВНЯ""- КАМЫШОВАЯ УЛ.",3,Автобус,0,1,0
1812,216,"Г. СЕСТРОРЕЦК, КУРОРТНАЯ УЛ. - СТ. МЕТРО ""СТАРАЯ ДЕРЕВНЯ""",3,Автобус,0,1,0
1813,318,"Г. ЗЕЛЕНОГОРСК, ВОКЗАЛ - ПОС. СЕРОВО",3,Автобус,0,1,0
1814,319,"Г.ЗЕЛЕНОГОРСК, ВОКЗАЛЬНАЯ ПЛ. - САНАТОРИЙ ""СОСНОВАЯ ПОЛЯНА""",3,Автобус,0,1,0
2152,134А,ШКОЛЬНАЯ УЛ. - АФОНСКАЯ УЛ.,3,Автобус,0,1,0
1976,187Ф,"Санкт- Петербург,ул. Костюшко - г. Пушкин, Вокзал",3,Автобус,0,1,0
2233,ШК,Ж.- Д.СТАНЦИЯ ПЕСОЧНАЯ - ПОС. НОВОСЕЛКИ,3,Автобус,0,0,0
2595,372,"Г. ПУШКИН, КРАСНОСЕЛЬСКОЕ ШОССЕ - Г. ПАВЛОВСК, САДОВАЯ УЛ. ",3,Автобус,0,0,0
2335,126 т,ст. метро Старая деревня -ст. метро Старая деревня,3,Автобус,0,0,0
2660,К-62,улица Кораблестроителей - Балтийский вокзал,3,Автобус,0,1,0
2684,К-10,"станция метро ""Василеостровская"" - на пересечении пр. Просвещения и Выборгского шоссе",3,Автобус,0,0,0
